MNEMONICO,IMM_CODE,IMM_BYTES,IMM_CYCLES,DIR_CODE,DIR_BYTES,DIR_CYCLES,"IND,X_CODE","IND,X_BYTES","IND,X_CYCLES","IND,Y_CODE","IND,Y_BYTES","IND,Y_CYCLES",EXT_CODE,EXT_BYTES,EXT_CYCLES,INH_CODE,INH_BYTES,INH_CYCLES,REL_CODE,REL_BYTES,REL_CYCLES,Banderas de estado,,,,,,,
bls,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,23,3,2,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- 
blt,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,2D,3,2,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- 
bmi,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,2B,3,2,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- 
bne,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,26,3,2,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- 
bpl,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,2A,3,2,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- 
bra,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,20,3,2,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- 
brclr,-- ,-- ,-- ,13,6,4,1F,7,4,18 1F,8,5,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- 
brn,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,21,3,2,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- 
brset,-- ,-- ,-- ,12,6,4,1E,7,4,18 1E,8,5,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- 
bset,-- ,-- ,-- ,14,6,3,1C,7,3,18 1C,8,4,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,X,X,0,-- 
bsr,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,8D,6,2,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- 
bvc,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,28,3,2,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- 
bvs,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,29,3,2,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- 
cba,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,11,2,1,-- ,-- ,-- ,-- ,-- ,-- ,-- ,X,X,X,X
clc,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,0C,2,1,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,0
cli,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,0E,2,1,-- ,-- ,-- ,-- ,-- ,-- ,0,-- ,-- ,-- ,-- 
clr,-- ,-- ,-- ,-- ,-- ,-- ,6F,6,2,18 6F,7,3,7F,6,3,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,0,1,0,0
clra,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,4F,2,1,-- ,-- ,-- ,-- ,-- ,-- ,-- ,0,1,0,0
clrb,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,5F,2,1,-- ,-- ,-- ,-- ,-- ,-- ,-- ,0,1,0,0
clv,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,0A,2,1,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,0,-- 
cmpa,81,2,2,91,3,2,A1,4,2,18 A1,5,3,B1,4,3,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,X,X,X,X
cmpb,C1,2,2,D1,3,2,E1,4,2,18 E1,5,3,F1,4,3,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,X,X,X,X
com,-- ,-- ,-- ,-- ,-- ,-- ,63,6,2,18 63,7,3,73,6,3,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,X,X,0,1
coma,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,43,2,1,-- ,-- ,-- ,-- ,-- ,-- ,-- ,X,X,0,1
comb,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,53,2,1,-- ,-- ,-- ,-- ,-- ,-- ,-- ,X,X,0,1
cpd,1A 83,5,4,1A 93,6,3,1A A3,7,3,CD A3,7,3,1A B3,7,4,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,X,X,X,X
cpx,8C,4,3,9C,5,2,AC,6,2,CD AC,7,3,BC,6,3,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,X,X,X,X
cpy,18 8C,5,4,18 9C,6,3,1A AC,7,3,18 AC,7,3,18 BC,7,4,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,X,X,X,X
daa,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,19,2,1,-- ,-- ,-- ,-- ,-- ,-- ,-- ,X,X,X,X
dec,-- ,-- ,-- ,-- ,-- ,-- ,6A,6,2,18 6A,7,3,7A,6,3,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,X,X,X,-- 
deca,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,4A,2,1,-- ,-- ,-- ,-- ,-- ,-- ,-- ,X,X,X,-- 
decb,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,5A,2,1,-- ,-- ,-- ,-- ,-- ,-- ,-- ,X,X,X,-- 
des,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,34,3,1,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- 
